198,214,34,81
197,214,34,81
196,215,34,81
195,216,34,81
193,217,34,81
191,215,36,85
191,218,34,81
191,219,34,81
190,220,34,81
191,221,34,81
191,223,34,81
192,225,34,81
194,223,34,81
196,224,34,81
201,223,34,81
202,220,34,81
204,220,34,81
206,211,34,81
207,213,32,77
208,213,32,77
209,212,32,77
211,214,32,77
213,218,32,77
218,220,32,77
218,223,34,81
223,224,36,85
227,228,36,85
229,232,36,85
233,231,36,85
236,227,37,89
243,229,36,85
245,225,37,89
249,224,37,89
254,221,39,94
256,220,39,94
260,219,39,94
265,218,39,94
267,220,39,94
271,224,39,94
275,225,39,94
277,229,39,94
280,231,39,94
282,232,39,94
284,232,39,94
285,229,41,98
285,228,41,98
285,227,41,98
284,227,41,98
283,227,41,98
281,228,41,98
279,227,41,98
278,225,41,98
277,223,41,98
276,222,41,98
275,221,41,98
273,221,41,98
272,221,41,98
271,221,41,98
271,222,41,98
269,222,41,98
